Frequenza_Hz;Amp_Ideale_dB;Amp_Distorta_dB;Fase_Ideale_deg;Fase_Distorta_deg;Errore_Amp_dB;Errore_Fase_deg
860.346442;-0.012672;0.867857;-3.094236;-3.100923;0.880529;-0.006687
911.588830;-0.014224;0.865946;-3.278138;-3.285224;0.880170;-0.007086
965.883224;-0.015966;0.860102;-3.472920;-3.480428;0.876067;-0.007508
1023.411402;-0.017920;0.856412;-3.679216;-3.687171;0.874332;-0.007955
1084.365969;-0.020114;0.847805;-3.897694;-3.906123;0.867918;-0.008429
1148.951000;-0.022574;0.840759;-4.129061;-4.137991;0.863333;-0.008931
1217.382728;-0.025336;0.831832;-4.374061;-4.383523;0.857167;-0.009463
1289.890261;-0.028433;0.820047;-4.633478;-4.643504;0.848480;-0.010026
1366.716356;-0.031908;0.811875;-4.908138;-4.918761;0.843783;-0.010623
1448.118228;-0.035806;0.797120;-5.198910;-5.210166;0.832927;-0.011256
1534.368409;-0.040178;0.783803;-5.506708;-5.518635;0.823982;-0.011927
1625.755666;-0.045082;0.769000;-5.832490;-5.845127;0.814082;-0.012637
1722.585965;-0.050579;0.751679;-6.177263;-6.190653;0.802258;-0.013390
1825.183494;-0.056744;0.733276;-6.542081;-6.556268;0.790020;-0.014187
1933.891750;-0.063653;0.711251;-6.928047;-6.943079;0.774904;-0.015032
2049.074690;-0.071398;0.688361;-7.336311;-7.352239;0.759759;-0.015927
2171.117946;-0.080076;0.664986;-7.768076;-7.784952;0.745061;-0.016876
2300.430120;-0.089798;0.635754;-8.224588;-8.242469;0.725552;-0.017881
2437.444150;-0.100686;0.608214;-8.707145;-8.726091;0.708900;-0.018946
2582.618761;-0.112878;0.578294;-9.217087;-9.237162;0.691172;-0.020075
2736.439997;-0.126524;0.546512;-9.755797;-9.777067;0.673036;-0.021270
2899.422854;-0.141794;0.514513;-10.324697;-10.347234;0.656307;-0.022537
3072.112999;-0.158873;0.474414;-10.925241;-10.949120;0.633287;-0.023879
3255.088600;-0.177968;0.435339;-11.558910;-11.584211;0.613306;-0.025302
3448.962260;-0.199305;0.395738;-12.227204;-12.254012;0.595043;-0.026809
3654.383071;-0.223135;0.346098;-12.931630;-12.960036;0.569233;-0.028405
3872.038782;-0.249734;0.298844;-13.673694;-13.703791;0.548578;-0.030097
4102.658106;-0.279402;0.242197;-14.454881;-14.486771;0.521599;-0.031890
4347.013158;-0.312470;0.186756;-15.276641;-15.310430;0.499227;-0.033789
4605.922041;-0.349297;0.124053;-16.140370;-16.176172;0.473350;-0.035802
4880.251584;-0.390273;0.059808;-17.047386;-17.085320;0.450081;-0.037934
5170.920243;-0.435819;-0.007958;-17.998902;-18.039095;0.427862;-0.040193
5478.901180;-0.486390;-0.089032;-18.995999;-19.038587;0.397358;-0.042587
5805.225516;-0.542471;-0.165265;-20.039597;-20.084720;0.377206;-0.045124
6150.985789;-0.604580;-0.252617;-21.130412;-21.178224;0.351963;-0.047811
6517.339605;-0.673266;-0.347793;-22.268929;-22.319588;0.325473;-0.050659
6905.513520;-0.749105;-0.449903;-23.455357;-23.509033;0.299202;-0.053676
